track_id,name,artist_id,artist_name,album,popularity,source,which,in_catalog,genres_join
0UPTkIZR45UaYchMgaVMAs,Anything (Ya Ya),4Fx9JQTrRogacwiF4Drhoy,Ginton,Anything (Ya Ya),56,seed_top,prefs,False,
452nTMj51Dt5P1sSn9bZoN,Phantom Liberty,6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,Lata Dwudzieste z kawałkiem,55,seed_top,prefs,False,
1QMdUrpO1rr0aXtjksMRLs,Down To Earth (2012),7dToZgn1tZjiCKeT1y60zw,Hunter Plake,Down To Earth (2012),55,seed_top,prefs,False,
5xan7XL4YNpsAOL7LhXUPb,The Darkside,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,The Darkside,55,seed_top,prefs,False,deep house
4vv8wcnT04GHHbUCFBAiHF,23 (With Ape Drums),7qYeIN2r4H1kBvr0Gm9Iav,Randy Nota Loca,"Romances de una Nota 2021, Vol.2",55,seed_top,prefs,False,
3vF2wvLHg3QK1MwqeiUOUb,Nobody Knows,4HJnsUVBubdKJ2aV0sr48u,Ape Drums,Nobody Knows,54,seed_top,prefs,False,moombahton
1ZXtVE7Orb5JnUWT06Oqwo,Too Heavy,1ElV1LPQsKmt6kuUjIBdHG,Neon Tide,Too Heavy,53,seed_top,prefs,False,
24wT9mkalLcUIDt9rkpYJJ,Let You Down,6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,Lata Dwudzieste z kawałkiem,52,seed_top,prefs,False,
0GPtVF1UqnrO0kro91AhyM,Koulchi Dial Allah,292jMVlKq180yzi8WRaVU6,7ari,101,52,seed_top,prefs,False,
3xhWhuMQs7X7nGLwKW0XEE,Silence,2VhoJf6VdIoPnifnThy9UV,WITH U,Silence,52,seed_top,prefs,False,afro house
2PkcJdAVlbQCnqoZjYo8JC,Try,2VhoJf6VdIoPnifnThy9UV,WITH U,Try,52,seed_top,prefs,False,afro house
5wH0qTIhsK8aSKWs6IAY61,In & Out,2mNOoqXYY177q7TtuqJL9q,Nathan C,In & Out,51,seed_top,prefs,False,deep house
4pJF7MrSiXtjthcEqB1aEJ,Need A Second,2mNOoqXYY177q7TtuqJL9q,Nathan C,Need A Second,51,seed_top,prefs,False,deep house
6wQaKs1COnCnqPIsIKsccx,Fall Back Down,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Fall Back Down,51,seed_top,prefs,False,deep house
5FyrOaDON6T8au7Xv8M5lr,Wad Al Makhazin,292jMVlKq180yzi8WRaVU6,7ari,101,51,seed_top,prefs,False,
6wpj0XOOx9rJkoNYCv2d7i,ENA VRADI,1LxWE4LOhnqeaAx2tVUK6p,Saske,ENA VRADI,49,seed_top,prefs,False,
4dsbLVnLqTavINHInT4hCo,Bittersweet,2mNOoqXYY177q7TtuqJL9q,Nathan C,Bittersweet,48,seed_top,prefs,False,deep house
2yejwvLnmVFtwrMQlaRWgP,El Dorado,7fQllKIlkVSl9JD1aJ8XYg,HotLap,El Dorado,48,seed_top,prefs,False,
5yigqYGqlknz6tQ7b7FGbZ,Depression,292jMVlKq180yzi8WRaVU6,7ari,101,48,seed_top,prefs,False,
4NkHMtDWqqfU9snFt7Ae6j,Get Through This,2mNOoqXYY177q7TtuqJL9q,Nathan C,Get Through This,47,seed_top,prefs,False,deep house
4GYO06wf3VU43VzgRevxU2,Changes,2mNOoqXYY177q7TtuqJL9q,Nathan C,Changes,46,seed_top,prefs,False,deep house
3mbtXrQE7zVMtm1dHvrWHk,PERMISSION TO MOVE,4lAkDxZ9sgjZD3mDPRgM4B,UVITA,PERMISSION TO MOVE,45,seed_top,prefs,False,"afro house, afro tech, melodic house"
7Cl5ITyEbFN7f2Y3YzfGTY,No Way Out,6qrKiEKVVelbXJa8HwchwO,OSFUR,No Way Out,44,seed_top,prefs,False,
3wgC5bBD5Iq8iEubEBkqZx,Wale Wale (feat. Sofiya Nzau) [WITH U Remix Radio Edit],5tYaRVYbV1anmzyxqMVdHi,TRESOR,New title: Wale Wale (feat. Sofiya Nzau) [WITH U Remix],43,seed_top,prefs,False,
4N70Hwcdft6RxkdUzkX70s,Through This,75jzFWGzvtNIwV7xoAp0wg,Julien Fade,Through This,42,seed_top,prefs,False,deep house
4uKulth6B1icBKdUQlQZhd,More Than Ever (Umbrella),0PX2pq6qcOfKp3NQOJMGvz,LEDUC,More Than Ever (Umbrella),41,seed_top,prefs,False,stutter house
3R6SkVU0glY6NQxBdEQK0R,Pieces,6qrKiEKVVelbXJa8HwchwO,OSFUR,Pieces,41,seed_top,prefs,False,
6fcze2Re7NG53tNsEF3WXi,AGAMA,6qrKiEKVVelbXJa8HwchwO,OSFUR,AGAMA EP,41,seed_top,prefs,False,
2KuQ9Au4R0WasDJ8fDRHxT,Shelter,7fQllKIlkVSl9JD1aJ8XYg,HotLap,Shelter,40,seed_top,prefs,False,
5YFCJLeAFafkrCTTNalrdt,Bad Ones,75jzFWGzvtNIwV7xoAp0wg,Julien Fade,Bad Ones,38,seed_top,prefs,False,deep house
094ytaIC90FNjxPFpdgcHP,What If We Let Go (feat. Sam Welch),0PX2pq6qcOfKp3NQOJMGvz,LEDUC,What If We Let Go (feat. Sam Welch),37,seed_top,prefs,False,stutter house
4BPoI4ettn5McqYyo3iQlg,Jump - Julien Fade Remix,4KX7yEwPVJikSK6wLjgUJF,SAY SAY,Jump (Julien Fade Remix),33,seed_top,prefs,False,
2ftN0Aikomqttb2hBJUHSW,Give Me Your Love,0PX2pq6qcOfKp3NQOJMGvz,LEDUC,Give Me Your Love,31,seed_top,prefs,False,stutter house
6sng1g313Na1A1jjcqtSqg,Overdrive (feat. Jordan Jade),75jzFWGzvtNIwV7xoAp0wg,Julien Fade,Overdrive (feat. Jordan Jade),31,seed_top,prefs,False,deep house
4naOLliMqRMOcfEOBJ1jAP,Zauberland,6HU4BOe89xyKTjx5uPT3Gg,Pazoo,Zauberland,31,seed_top,prefs,False,
2jTmrwt6SiQ3yvFg2BVqw3,Siyaphakama!,6u1e1yxbcOzQ96mQl2L6ta,MUPHUS,Siyaphakama!,30,seed_top,prefs,False,hypertechno
4IC7K23iJBGfUsu2oEwZ5T,Letzte Nacht!,6u1e1yxbcOzQ96mQl2L6ta,MUPHUS,Letzte Nacht!,29,seed_top,prefs,False,hypertechno
7hthlUwN9J31cP7XVMPML1,Light Me Up,0PX2pq6qcOfKp3NQOJMGvz,LEDUC,Light Me Up,28,seed_top,prefs,False,stutter house
6bBFT3o03EUiwh9izY8SnF,Wait for You,6u1e1yxbcOzQ96mQl2L6ta,MUPHUS,Wait for You,15,seed_top,prefs,False,hypertechno
63GVWi6kSsHgolSLqxp2tV,Iris,7t9AgfG4UBcFL6lEkfQi6h,Buamz,Iris,14,seed_top,prefs,False,
6oxZG0GdwFctktW60tnzX8,Ghost Of You - LEDUC Remix,5SOSqzQyhsHTTuxAMGPkaO,BUTTER,Ghost Of You (LEDUC Remix),13,seed_top,prefs,False,
